losses/action_loss,losses/dist_entropy,losses/kl_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-0.0015789407189004123,2.331882337729136,0.0028407919101785715,0.23837047380705675,0.9,1.0,1.9,1.5,44,737280
-0.00015824326934913793,2.3099248806635537,0.005913993052672595,0.2699877681831519,2.8,4.0,3.0,1.0,45,753664
-5.662310286425054e-05,2.264995753765106,0.004283757778466679,0.3079318031668663,2.5,2.5,2.8,3.0,46,770048
0.0009079158577757577,2.227851172288259,0.004754121314666311,0.3564922660589218,2.1,0.5,3.6,3.0,47,786432
0.0017160148127004504,2.211717496315638,0.008854455458883118,0.4378822346528371,3.0,3.5,3.4,2.5,48,802816
0.00210554680476586,2.1544059216976166,0.011000132949751181,0.46661390364170074,2.7,2.5,2.4,2.0,49,819200
0.0013377635526315619,2.048126811782519,0.009346545911588086,0.5842859273155531,3.6,4.0,3.2,3.0,50,835584
0.004381059901788831,2.0204485952854156,0.01058131856067727,0.780208150545756,1.9,1.0,2.0,1.5,51,851968
0.007649025006685406,2.0173418521881104,0.0188276913734929,0.8452378734946251,4.3,4.5,3.8,3.0,52,868352
1.4034449122846127e-05,2.2016571362813315,0.0033455749216955155,0.27672579263647396,3.8,4.0,4.3,4.5,53,884736
0.0004784376166450481,2.1764095226923623,0.004300285116187297,0.295054259399573,2.7,2.0,2.9,2.5,54,901120
0.0048122104005112005,2.183436314264933,0.01490435482507261,0.41829337924718857,3.1,4.0,2.3,2.5,55,917504
0.001805873141468813,2.129677563905716,0.005796523798683968,0.359646201133728,3.0,1.5,3.3,2.0,56,933888
0.0006176602134170631,2.169434239466985,0.008105356023103619,0.31088975071907043,2.7,2.0,5.1,4.5,57,950272
0.0040840560880800085,2.1940325498580933,0.014582306942126403,0.339035256455342,3.6,3.0,2.0,1.0,58,966656
0.0003188788735618194,2.094011684258779,0.0059873577556572855,0.3663957603275776,2.1,1.5,2.3,2.0,59,983040
0.001968560779156784,2.070420136054357,0.010593693174693422,0.42821472386519116,5.1,4.0,3.0,2.5,60,999424
-0.00047504110261797905,2.0989121794700623,0.0037071779079269618,0.3353991098701954,3.4,3.5,2.8,2.5,61,1015808
0.001991983406090488,2.0479035675525665,0.01054514740826562,0.3935862332582474,3.9,3.0,3.0,1.5,62,1032192
-0.0009876486922924717,2.1415299077828727,0.005540408067948495,0.2798912338912487,3.6,3.5,2.9,3.0,63,1048576
0.0018170378267920266,2.1423789461453757,0.009197782899718732,0.3270522157351176,4.0,4.0,3.9,3.5,64,1064960
-0.00043910964935397107,2.0538009206453958,0.004515840856280799,0.3398733561237653,3.1,2.5,3.3,3.5,65,1081344
0.0010967654719327886,2.027001569668452,0.008217589410681589,0.36615730822086334,4.5,5.0,3.5,3.5,66,1097728
-0.0006755651944937805,2.075603266557058,0.003950792675216992,0.23682822783788046,3.1,3.0,2.7,1.5,67,1114112
-0.0002777068002615124,2.096728523572286,0.006502235773950815,0.2635966781526804,4.5,4.0,4.9,5.0,68,1130496
0.0015875276973626267,2.1353243788083396,0.010351676425974196,0.262692678719759,3.9,2.5,5.4,4.0,69,1146880
-0.001713398485056435,2.0187082389990487,0.003399114507677344,0.29555941248933476,2.9,3.0,4.2,2.5,70,1163264
-0.0011896788685893018,2.0241027772426605,0.004202411985412861,0.2886161282658577,2.7,2.5,3.6,1.5,71,1179648
-0.00015204710265000662,1.9878050883611043,0.005461271405996134,0.3111169549326102,2.4,2.0,2.5,1.5,72,1196032
0.004736440780106932,2.0183319052060447,0.018102646999371547,0.3354297826687495,2.5,2.0,2.8,3.0,73,1212416
-0.00011224020272493362,1.8525543262561162,0.006089477945351973,0.35155760621031124,3.8,3.0,2.9,2.0,74,1228800
0.004530968522885814,1.9017878075440724,0.02464309730567038,0.36357320472598076,1.3,1.0,3.5,2.5,75,1245184
0.000935216531312714,1.8078134208917618,0.021894650883041322,0.39417394374807674,3.2,3.0,2.3,0.5,76,1261568
0.004784308257512748,1.7571952094634373,0.013727943995036185,0.5261692057053248,3.3,3.0,2.8,2.5,77,1277952
-0.001043032369731615,1.8984030783176422,0.009333877853350714,0.28660670047005016,1.9,1.0,3.1,2.5,78,1294336
0.0049145425437018275,1.9099265187978745,0.02168292038065071,0.3792137938241164,2.2,1.0,3.6,3.5,79,1310720
0.0062440594483632594,1.9608288705348969,0.02106265558783586,0.3659723810851574,3.4,2.0,3.7,3.0,80,1327104
0.005684988670206319,1.8970646907885869,0.028925063243756693,0.37202639877796173,2.8,3.0,4.0,2.5,81,1343488
